Species,Individual,Age_sub,Age,Sex,Well,Target,Content,IGF1,IGF2
Brown Anole,M61,Adult,Adult,Male,B05,IGF1,Unkn-01,1278616.103,917967.139
Brown Anole,M61,Adult,Adult,Male,B06,IGF1,Unkn-01,1294714.918,814419.2774
Brown Anole,M61,Adult,Adult,Male,B07,IGF1,Unkn-01,1113019.415,780549.2755
Brown Anole,M69,Adult,Adult,Male,C05,IGF1,Unkn-02,1321455.197,1878004.861
Brown Anole,M69,Adult,Adult,Male,C06,IGF1,Unkn-02,1517871.671,1582267.276
Brown Anole,M69,Adult,Adult,Male,C07,IGF1,Unkn-02,1417881.64,1631216.279
Brown Anole,F48,Adult,Adult,Female,D05,IGF1,Unkn-03,438917.1074,728463.6582
Brown Anole,F48,Adult,Adult,Female,D06,IGF1,Unkn-03,425027.2665,744670.1763
Brown Anole,F48,Adult,Adult,Female,D07,IGF1,Unkn-03,454251.6763,782981.3295
Brown Anole,F60,Adult,Adult,Female,E05,IGF1,Unkn-04,306375.5415,599462.9622
Brown Anole,F60,Adult,Adult,Female,E06,IGF1,Unkn-04,274060.5486,611544.7364
Brown Anole,F60,Adult,Adult,Female,E07,IGF1,Unkn-04,281771.8152,564751.217
Brown Anole,EDBP14,Embryonic,Embryonic,NA,F05,IGF1,Unkn-05,18582.92646,11848.24004
Brown Anole,EDBP14,Embryonic,Embryonic,NA,F06,IGF1,Unkn-05,18029.88823,12655.63464
Brown Anole,EDBP14,Embryonic,Embryonic,NA,F07,IGF1,Unkn-05,17242.5817,15240.47411
Brown Anole,EDBP15,Embryonic,Embryonic,NA,G05,IGF1,Unkn-06,8912.310728,14452.84372
Brown Anole,EDBP15,Embryonic,Embryonic,NA,G06,IGF1,Unkn-06,10793.24776,11082.14849
Brown Anole,EDBP15,Embryonic,Embryonic,NA,G07,IGF1,Unkn-06,7748.204473,11451.35021
Brown Anole,EDBP39,Embryonic,Embryonic,NA,B08,IGF1,Unkn-07,7515.644319,8862.741892
Brown Anole,EDBP39,Embryonic,Embryonic,NA,B09,IGF1,Unkn-07,6806.780994,9730.819125
Brown Anole,EDBP39,Embryonic,Embryonic,NA,B10,IGF1,Unkn-07,5654.213031,13514.91114
Brown Anole,EDBP43,Embryonic,Embryonic,NA,C08,IGF1,Unkn-08,9955.294096,11869.82179
Brown Anole,EDBP43,Embryonic,Embryonic,NA,C09,IGF1,Unkn-08,11003.04505,14482.46033
Brown Anole,EDBP43,Embryonic,Embryonic,NA,C10,IGF1,Unkn-08,9085.378626,13036.55977
Brown Anole,33L,Juvenile,Juvenile,NA,D08,IGF1,Unkn-09,3646.076083,14630.24499
Brown Anole,33L,Juvenile,Juvenile,NA,D09,IGF1,Unkn-09,4425.527907,13428.83073
Brown Anole,33L,Juvenile,Juvenile,NA,D10,IGF1,Unkn-09,4181.763399,12215.51298
Brown Anole,01L,Juvenile,Juvenile,NA,E08,IGF1,Unkn-10,49770.1341,12132.24516
Brown Anole,01L,Juvenile,Juvenile,NA,E09,IGF1,Unkn-10,48188.01673,13139.8882
Brown Anole,01L,Juvenile,Juvenile,NA,E10,IGF1,Unkn-10,43424.31718,43354.34711
Brown Anole,02L,Juvenile,Juvenile,NA,F08,IGF1,Unkn-11,48427.78093,43812.33161
Brown Anole,02L,Juvenile,Juvenile,NA,F09,IGF1,Unkn-11,42796.58204,50132.18199
Brown Anole,02L,Juvenile,Juvenile,NA,F10,IGF1,Unkn-11,47261.68506,10446.25185
Brown Anole,08L,Juvenile,Juvenile,NA,G08,IGF1,Unkn-12,2759.133896,9738.831453
Brown Anole,08L,Juvenile,Juvenile,NA,G09,IGF1,Unkn-12,2446.032302,270089.592
E. Fence Lizard,1,Juvenile,Juvenile,NA,B05,IGF1,Unkn-1,1853549.15,291511.359
E. Fence Lizard,1,Juvenile,Juvenile,NA,B06,IGF1,Unkn-1,2173858.189,315331.2719
E. Fence Lizard,1,Juvenile,Juvenile,NA,B07,IGF1,Unkn-1,2010320.537,1126386.884
E. Fence Lizard,9,Juvenile,Juvenile,NA,C06,IGF1,Unkn-2,514404.2053,1127729.549
E. Fence Lizard,9,Juvenile,Juvenile,NA,C07,IGF1,Unkn-2,486944.0073,1125461.819
E. Fence Lizard,19,Juvenile,Juvenile,NA,D05,IGF1,Unkn-3,425630.2193,112092.5671
E. Fence Lizard,19,Juvenile,Juvenile,NA,D06,IGF1,Unkn-3,450717.8321,129962.4387
E. Fence Lizard,19,Juvenile,Juvenile,NA,D07,IGF1,Unkn-3,440727.0903,108885.7739
E. Fence Lizard,24,Juvenile,Juvenile,NA,E05,IGF1,Unkn-4,1927347.887,611571.9093
E. Fence Lizard,24,Juvenile,Juvenile,NA,E06,IGF1,Unkn-4,1971730.222,646351.2579
E. Fence Lizard,24,Juvenile,Juvenile,NA,E07,IGF1,Unkn-4,2074034.508,661893.3181
E. Fence Lizard,3,Adult,Adult,Male,F05,IGF1,Unkn-5,2719690.718,3764757.506
E. Fence Lizard,3,Adult,Adult,Male,F06,IGF1,Unkn-5,2968315.805,3978845.42
E. Fence Lizard,3,Adult,Adult,Male,F07,IGF1,Unkn-5,2310892.277,3680089.769
E. Fence Lizard,6,Adult,Adult,Male,G05,IGF1,Unkn-6,1211176.198,898908.0314
E. Fence Lizard,6,Adult,Adult,Male,G06,IGF1,Unkn-6,1542667.082,823274.7325
E. Fence Lizard,6,Adult,Adult,Male,G07,IGF1,Unkn-6,1729118.211,848221.2804
E. Fence Lizard,32,Adult,Adult,Male,B08,IGF1,Unkn-7,295484.9037,494337.7832
E. Fence Lizard,32,Adult,Adult,Male,B09,IGF1,Unkn-7,369497.2763,479595.5994
E. Fence Lizard,51,Adult,Adult,Male,C08,IGF1,Unkn-8,684026.3713,499468.3334
E. Fence Lizard,51,Adult,Adult,Male,C09,IGF1,Unkn-8,939613.5499,118932.1608
E. Fence Lizard,51,Adult,Adult,Male,C10,IGF1,Unkn-8,731482.9174,109474.9012
House Sparrow,C4,Day.2,Juvenile,Female,B05,IGF1,Unkn-01,652951.5103,150399.8876
House Sparrow,C4,Day.2,Juvenile,Female,B06,IGF1,Unkn-01,687922.0719,265824.7864
House Sparrow,C4,Day.2,Juvenile,Female,B07,IGF1,Unkn-01,599680.4766,230492.3044
House Sparrow,A4,Day.2,Juvenile,Male,C05,IGF1,Unkn-02,565645.1267,180299.8281
House Sparrow,A4,Day.2,Juvenile,Male,C06,IGF1,Unkn-02,546975.5543,245151.0334
House Sparrow,A4,Day.2,Juvenile,Male,C07,IGF1,Unkn-02,580510.4564,256480.67
House Sparrow,B7,Day.2,Juvenile,Male,D05,IGF1,Unkn-03,1309480.598,205890.3313
House Sparrow,B7,Day.2,Juvenile,Male,D06,IGF1,Unkn-03,1395440.573,159072.5088
House Sparrow,B7,Day.2,Juvenile,Male,D07,IGF1,Unkn-03,1278951.192,139496.4027
House Sparrow,C9,Day.2,Juvenile,Female,E05,IGF1,Unkn-04,589646.5335,2305219.936
House Sparrow,C9,Day.2,Juvenile,Female,E06,IGF1,Unkn-04,669850.5235,2018227.869
House Sparrow,C9,Day.2,Juvenile,Female,E07,IGF1,Unkn-04,735263.2047,1797637.629
House Sparrow,A21,Day.10,Juvenile,Female,F05,IGF1,Unkn-05,1539213.265,1095768.716
House Sparrow,A21,Day.10,Juvenile,Female,F06,IGF1,Unkn-05,1470457.197,1126887.283
House Sparrow,A21,Day.10,Juvenile,Female,F07,IGF1,Unkn-05,1650511.926,1104613.63
House Sparrow,E17,Day.10,Juvenile,Male,G05,IGF1,Unkn-06,3760012.085,1474997.386
House Sparrow,E17,Day.10,Juvenile,Male,G06,IGF1,Unkn-06,4401751.985,1477736.383
House Sparrow,E17,Day.10,Juvenile,Male,G07,IGF1,Unkn-06,4651890.491,4138083.019
House Sparrow,C1,Day.10,Juvenile,Male,B08,IGF1,Unkn-07,1282347.107,3414091.718
House Sparrow,C1,Day.10,Juvenile,Male,B09,IGF1,Unkn-07,1203129.418,3491516.032
House Sparrow,C1,Day.10,Juvenile,Male,B10,IGF1,Unkn-07,1172398.931,1095898.299
House Sparrow,F23,Day.10,Juvenile,Female,C08,IGF1,Unkn-08,1693486.737,1075407.682
House Sparrow,F23,Day.10,Juvenile,Female,C09,IGF1,Unkn-08,2086448.733,812974.672
House Sparrow,F23,Day.10,Juvenile,Female,C10,IGF1,Unkn-08,1862262.277,717807.3989
House Sparrow,J73,Adult,Adult,Female,D08,IGF1,Unkn-09,539049.1504,1359414.115
House Sparrow,J73,Adult,Adult,Female,D09,IGF1,Unkn-09,564335.1003,1246232.557
House Sparrow,J75,Adult,Adult,Female,E08,IGF1,Unkn-10,860614.4909,2122580.694
House Sparrow,J75,Adult,Adult,Female,E09,IGF1,Unkn-10,936559.8297,2257089.265
House Sparrow,J75,Adult,Adult,Female,E10,IGF1,Unkn-10,772373.8336,2019942.245
House Sparrow,J81,Adult,Adult,Female,F08,IGF1,Unkn-11,1432861.772,978239.7688
House Sparrow,J81,Adult,Adult,Female,F09,IGF1,Unkn-11,1639778.864,869216.3823
House Sparrow,J81,Adult,Adult,Female,F10,IGF1,Unkn-11,1414579.259,899890.8126
House Sparrow,J82,Adult,Adult,Male,G08,IGF1,Unkn-12,1129872.75,1456560.519
House Sparrow,J82,Adult,Adult,Male,G09,IGF1,Unkn-12,1020300.473,1596988.731
House Sparrow,J82,Adult,Adult,Male,G10,IGF1,Unkn-12,1157637.641,1481443.617
Zebra Finch,1,Adult,Adult,Female,B05,IGF1,Unkn-01,424437.0222,460116.2571
Zebra Finch,1,Adult,Adult,Female,B06,IGF1,Unkn-01,542101.7426,467772.3285
Zebra Finch,1,Adult,Adult,Female,B07,IGF1,Unkn-01,523594.9821,431407.0707
Zebra Finch,2,Adult,Adult,Male,C05,IGF1,Unkn-02,61005.52104,1122301.222
Zebra Finch,2,Adult,Adult,Male,C06,IGF1,Unkn-02,51090.34119,1207963.862
Zebra Finch,2,Adult,Adult,Male,C07,IGF1,Unkn-02,62371.09786,1459266.047
Zebra Finch,3,Adult,Adult,Female,D05,IGF1,Unkn-03,7136814.38,394686.5158
Zebra Finch,3,Adult,Adult,Female,D06,IGF1,Unkn-03,6249355.641,308480.2619
Zebra Finch,3,Adult,Adult,Female,D07,IGF1,Unkn-03,5671785.967,338244.4982
Zebra Finch,4,Adult,Adult,Male,E05,IGF1,Unkn-04,494402.3692,500346.7687
Zebra Finch,4,Adult,Adult,Male,E06,IGF1,Unkn-04,456229.8869,468126.325
Zebra Finch,4,Adult,Adult,Male,E07,IGF1,Unkn-04,440237.4478,397033.6492
Zebra Finch,15-8,Juvenile,Juvenile,NA,F05,IGF1,Unkn-05,2529245.56,380985.1738
Zebra Finch,15-8,Juvenile,Juvenile,NA,F06,IGF1,Unkn-05,2504861.032,337015.9405
Zebra Finch,15-8,Juvenile,Juvenile,NA,F07,IGF1,Unkn-05,2214407.866,317928.4544
Zebra Finch,10-Jul,Juvenile,Juvenile,NA,G05,IGF1,Unkn-06,123435.5394,3607076.536
Zebra Finch,10-Jul,Juvenile,Juvenile,NA,G06,IGF1,Unkn-06,114946.4097,3612301.779
Zebra Finch,10-Jul,Juvenile,Juvenile,NA,G07,IGF1,Unkn-06,115430.9965,3466731.6
Zebra Finch,6-Sep,Juvenile,Juvenile,NA,B08,IGF1,Unkn-07,749628.7886,830079.6223
Zebra Finch,6-Sep,Juvenile,Juvenile,NA,B09,IGF1,Unkn-07,894613.8062,831177.9648
Zebra Finch,6-Sep,Juvenile,Juvenile,NA,B10,IGF1,Unkn-07,830545.6267,820717.3293
Zebra Finch,5-Apr,Juvenile,Juvenile,NA,C08,IGF1,Unkn-08,565117.4163,770604.6667
Zebra Finch,5-Apr,Juvenile,Juvenile,NA,C09,IGF1,Unkn-08,616297.6793,585436.2301
Zebra Finch,5-Apr,Juvenile,Juvenile,NA,C10,IGF1,Unkn-08,528370.3931,682930.3648
Zebra Finch,30-6,Embryonic,Embryonic,NA,D08,IGF1,Unkn-09,487657.9947,954693.9038
Zebra Finch,30-6,Embryonic,Embryonic,NA,D09,IGF1,Unkn-09,564023.3627,810575.2713
Zebra Finch,30-6,Embryonic,Embryonic,NA,D10,IGF1,Unkn-09,494483.3617,692852.1716
Zebra Finch,15-3,Embryonic,Embryonic,NA,E08,IGF1,Unkn-10,14103.57093,1807.557239
Zebra Finch,15-3,Embryonic,Embryonic,NA,E10,IGF1,Unkn-10,15070.19701,1818.388612
Zebra Finch,18-4,Embryonic,Embryonic,NA,F09,IGF1,Unkn-11,13707.13724,1571.951992
Zebra Finch,18-4,Embryonic,Embryonic,NA,F10,IGF1,Unkn-11,12001.2978,3756.762681
Zebra Finch,22-11,Embryonic,Embryonic,NA,G08,IGF1,Unkn-12,11204.95501,3860.505681
Zebra Finch,22-11,Embryonic,Embryonic,NA,G09,IGF1,Unkn-12,14343.61506,3812.564274
Zebra Finch,22-11,Embryonic,Embryonic,NA,G10,IGF1,Unkn-12,12678.04232,2603.822311
House Mouse,13; 8175,Adult.Wild,Adult,Female,A04,IGF1,Unkn-01,4656261.828,2442.317522
House Mouse,13; 8175,Adult.Wild,Adult,Female,A05,IGF1,Unkn-01,5575068.177,1995.778161
House Mouse,30; 9031,Adult.Wild,Adult,Female,B05,IGF1,Unkn-02,5201578.809,2992.463695
House Mouse,30; 9031,Adult.Wild,Adult,Female,B06,IGF1,Unkn-02,5082797.457,2859.846002
House Mouse,29; 8773,Adult.Wild,Adult,Male,C04,IGF1,Unkn-03,3542046.96,3637.700133
House Mouse,29; 8773,Adult.Wild,Adult,Male,C05,IGF1,Unkn-03,3137057.583,1072.894845
House Mouse,16; 8786,Adult.Wild,Adult,Male,D04,IGF1,Unkn-04,5762839.275,772.6511148
House Mouse,16; 8786,Adult.Wild,Adult,Male,D05,IGF1,Unkn-04,4838555.19,995.4270951
House Mouse,18;F5968,Juvenlie.Wild,Juvenile,NA,F04,IGF1,Unkn-06,3263660.136,135.19888
House Mouse,18;F5968,Juvenlie.Wild,Juvenile,NA,F05,IGF1,Unkn-06,2410515.32,452.070069
House Mouse,18;F5968,Juvenlie.Wild,Juvenile,NA,F06,IGF1,Unkn-06,2551801.492,329.1558522
House Mouse,19;Unk,Juvenlie.Wild,Juvenile,NA,G04,IGF1,Unkn-07,8455662.174,585.5880246
House Mouse,19;Unk,Juvenlie.Wild,Juvenile,NA,G05,IGF1,Unkn-07,7699648.485,664.1405493
House Mouse,19;Unk,Juvenlie.Wild,Juvenile,NA,G06,IGF1,Unkn-07,8563407.675,
House Mouse,20;M5968,Juvenlie.Wild,Juvenile,NA,H04,IGF1,Unkn-08,7204943.04,2553.156709
House Mouse,20;M5968,Juvenlie.Wild,Juvenile,NA,H05,IGF1,Unkn-08,6680592.36,2652.711871
House Mouse,20;M5968,Juvenlie.Wild,Juvenile,NA,H06,IGF1,Unkn-08,5195934.66,2553.817703
House Mouse,25;MNX;41,Embryonic.Lab,Embryonic,NA,A07,,,,8491.377357
House Mouse,25;MNX;41,Embryonic.Lab,Embryonic,NA,A08,,,,7901.477298
House Mouse,25;MNX;41,Embryonic.Lab,Embryonic,NA,A09,,,,6793.448688
House Mouse,26;MNX;46,Embryonic.Lab,Embryonic,NA,B07,,,,20976357.61
House Mouse,26;MNX;46,Embryonic.Lab,Embryonic,NA,B08,IGF1,Unkn-10,57430.79766,19677323.89
House Mouse,26;MNX;46,Embryonic.Lab,Embryonic,NA,B09,IGF1,Unkn-10,67484.45727,18687397.5
House Mouse,27;MNX;103,Embryonic.Lab,Embryonic,NA,C07,IGF1,Unkn-11,64319.3964,14857658.41
House Mouse,27;MNX;103,Embryonic.Lab,Embryonic,NA,C08,IGF1,Unkn-11,72018.20133,13008068.51
