individual,group,observation,value,Percentage,NUM_ID,plotID
American Alligator,Crocodilian,IGF1.plot,0.02,2,63,CK
Asian Grass Lizard,Squamates,IGF1.plot,0.033,3.3,42,BP
Asian House Shrew,Eutheria,IGF1.plot,1,100,11,AK
Atlantic Canary,Aves,IGF1.plot,0.373,37.3,75,CW
Bengalese Finch,Aves,IGF1.plot,0.984,98.4,73,CU
Black Flying Fox,Eutheria,IGF1.plot,0.8585,85.85,14,AN
Broad-eared Bat,Eutheria,IGF1.plot,0.976666667,97.6666667,21,AU
Brown Anole,Squamates,IGF1.plot,0.475,47.5,48,BV
Brown Basilisk,Squamates,IGF1.plot,0.945,94.5,47,BU
Brown Bear,Eutheria,IGF1.plot,0.46325,46.325,39,BM
Brown Rat,Eutheria,IGF1.plot,0.99925,99.925,24,AX
Cat,Eutheria,IGF1.plot,0.65675,65.675,36,BJ
Central Bearded Dragon,Squamates,IGF1.plot,0.007,0.7,43,BQ
Chicken,Aves,IGF1.plot,0.1025,10.25,69,CQ
Chilean Tinamou,Aves,IGF1.plot,0,0,64,CL
Chinese Softshell Turtle,Testudines,IGF1.plot,0.196,19.6,57,CE
Collared Flycatcher,Aves,IGF1.plot,0.3815,38.15,72,CT
Common Box Turtle,Testudines,IGF1.plot,0.013,1.3,60,CH
Common Leopard Gecko,Squamates,IGF1.plot,0.55,55,40,BN
Common Marmoset,Eutheria,IGF1.plot,0.51825,51.825,26,AZ
Common Musk Turtle,Testudines,IGF1.plot,0.017,1.7,58,CF
Common Snapping Turtle,Testudines,IGF1.plot,0,0,59,CG
Common Wombat,Methatheria,IGF1.plot,0.1195,11.95,6,AF
Cottonmouth ,Squamates,IGF1.plot,0.082,8.2,53,CA
Cow,Eutheria,IGF1.plot,0.19475,19.475,34,BH
Diamondback Terrapin,Testudines,IGF1.plot,0.023,2.3,62,CJ
Dog,Eutheria,IGF1.plot,0.00075,0.075,37,BK
Eastern Fence Lizard,Squamates,IGF1.plot,0.093,9.3,46,BT
Egyptian Fruit Bat,Eutheria,IGF1.plot,0.993,99.3,15,AO
Emu,Aves,IGF1.plot,0.746,74.6,65,CM
European Hedgehog,Eutheria,IGF1.plot,1,100,12,AL
European Pied Flycatcher,Aves,IGF1.plot,0.433,43.3,71,CS
Four-toed Hedgehog,Eutheria,IGF1.plot,0.9925,99.25,13,AM
Ghost-faced Bat,Eutheria,IGF1.plot,0.469333333,46.9333333,18,AR
Giant Panda,Eutheria,IGF1.plot,0.1225,12.25,38,BL
Gray short-tailed oppossum,Methatheria,IGF1.plot,0.995,99.5,2,AB
Green Iguana,Squamates,IGF1.plot,0.537,53.7,44,BR
Green Monkey,Eutheria,IGF1.plot,0.601333333,60.1333333,27,BA
Grey Crested Tit,Aves,IGF1.plot,0.047,4.7,79,DA
Hairy-legged Myotis,Eutheria,IGF1.plot,0.616333333,61.6333333,19,AS
Horse,Eutheria,IGF1.plot,0.5045,50.45,30,BD
House Mouse,Eutheria,IGF1.plot,0.999567568,99.9567568,23,AW
Human,Eutheria,IGF1.plot,0.499333333,49.9333333,28,BB
